code,nom,cdc_concerne,fichier_source,ligne_pdf,type,base_code,base_nom,numero_ug,numero_ca,debut_occupation,fin_occupation,tantieme,reliquat
SAS,Base de rép. ascenseur,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,9,base_repartition,,,,,,,,
SAS,Base de rép. ascenseur,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,49,base_repartition,,,,,,,,
SBA,Base taxe de balayage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,91,base_repartition,,,,,,,,
SBA,Base taxe de balayage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,137,base_repartition,,,,,,,,
SCH,Base chauffage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,178,base_repartition,,,,,,,,
SCH,Base chauffage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,224,base_repartition,,,,,,,,
SEV,Base de rép. espace vert,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,265,base_repartition,,,,,,,,
SEV,Base de rép. espace vert,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,311,base_repartition,,,,,,,,
SGA,Base de répart. Gardien,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,352,base_repartition,,,,,,,,
SGA,Base de répart. Gardien,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,398,base_repartition,,,,,,,,
SRC,Base de répart. Charges,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,439,base_repartition,,,,,,,,
SRC,Base de répart. Charges,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,485,base_repartition,,,,,,,,
STO,Base taxe ordur menag,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,526,base_repartition,,,,,,,,
STO,Base taxe ordur menag,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,572,base_repartition,,,,,,,,
SAS,Base de rép. ascenseur,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,613,base_repartition,,,,,,,,
SAS,Base de rép. ascenseur,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,659,base_repartition,,,,,,,,
SBA,Base taxe de balayage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,695,base_repartition,,,,,,,,
SBA,Base taxe de balayage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,741,base_repartition,,,,,,,,
SCH,Base chauffage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,782,base_repartition,,,,,,,,
SCH,Base chauffage,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,828,base_repartition,,,,,,,,
SEV,Base de rép. espace vert,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,869,base_repartition,,,,,,,,
SEV,Base de rép. espace vert,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,915,base_repartition,,,,,,,,
SGA,Base de répart. Gardien,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,956,base_repartition,,,,,,,,
SGA,Base de répart. Gardien,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,1002,base_repartition,,,,,,,,
SRC,Base de répart. Charges,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,1043,base_repartition,,,,,,,,
SRC,Base de répart. Charges,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,1089,base_repartition,,,,,,,,
STO,Base taxe ordur menag,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,1130,base_repartition,,,,,,,,
STO,Base taxe ordur menag,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,1176,base_repartition,,,,,,,,
,,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,11,tantieme,SAS,Base de rép. ascenseur,065771,459471,24/02/2016,,124.00,0.00
,,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,12,tantieme,SAS,Base de rép. ascenseur,065772,309739,17/05/2005,,96.00,0.00
,,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,13,tantieme,SAS,Base de rép. ascenseur,065773,434759,27/05/2013,,146.00,0.00
,,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,14,tantieme,SAS,Base de rép. ascenseur,065774,056054,01/01/1984,,106.00,0.00
,,,REG114 - TANTIÈMES DC PAR CAUG PRÉSENTS AU 01 JANVIER - 113RU.pdf,15,tantieme,SAS,Base de rép. ascenseur,065775,487596,05/10/2018,,67.00,0.00
